Bloco,Estado,Tipo_variavel,Variavel,Coeficiente,p_valor,Significativo_5pct,Metodo,n_pares,Shapiro_CO2_n,Shapiro_CO2_W,Shapiro_CO2_p,Shapiro_CO2_Normal_5pct,Shapiro_Var_n,Shapiro_Var_W,Shapiro_Var_p,Shapiro_Var_Normal_5pct,Status
Desmatamento/uso da terra,AC,Causas,area_colhida,-0.5503759398496241,0.011919637001913333,Sim,Spearman,20,20,0.7808079304775649,0.00045320479743731705,Não,20,0.8845914837061435,0.021418235497889963,Não,OK
Desmatamento/uso da terra,AC,Causas,area_destinada_colheita,-0.5082706766917292,0.022124780463792442,Sim,Spearman,20,20,0.7808079304775649,0.00045320479743731705,Não,20,0.9272913185707281,0.13693683171089643,Sim,OK
Desmatamento/uso da terra,AC,Causas,consumo_energia_industrial,0.15789473684210525,0.5061465835201626,Não,Spearman,20,20,0.7808079304775649,0.00045320479743731705,Não,20,0.9621439870546863,0.5875157790068137,Sim,OK
Desmatamento/uso da terra,AC,Causas,desmat_area,0.9578947368421054,3.389666746806415e-11,Sim,Spearman,20,20,0.7808079304775649,0.00045320479743731705,Não,20,0.781725317704973,0.00046711352426663126,Não,OK
Desmatamento/uso da terra,AC,Causas,frota,0.42255639097744363,0.06344083999820867,Não,Spearman,20,20,0.7808079304775649,0.00045320479743731705,Não,20,0.9425867349758748,0.26822345417555415,Sim,OK
Desmatamento/uso da terra,AC,Causas,frp_anual_queimadas,0.6962406015037594,0.00064992440549734,Sim,Spearman,20,20,0.7808079304775649,0.00045320479743731705,Não,20,0.8087079036077314,0.0011684702025653467,Não,OK
Desmatamento/uso da terra,AC,Causas,rebanho,0.45563909774436084,0.04349340980546598,Sim,Spearman,20,20,0.7808079304775649,0.00045320479743731705,Não,20,0.8657494549915487,0.009901015487705585,Não,OK
Desmatamento/uso da terra,AC,Causas,venda_comb,0.17593984962406017,0.4580986587024854,Não,Spearman,20,20,0.7808079304775649,0.00045320479743731705,Não,20,0.8589990345955117,0.007571357835301295,Não,OK
Desmatamento/uso da terra,AM,Causas,area_colhida,-0.7398496240601502,0.00019241032720557428,Sim,Spearman,20,20,0.8039609958609255,0.0009904132007865244,Não,20,0.8673839046259751,0.010572327139327016,Não,OK
Desmatamento/uso da terra,AM,Causas,area_destinada_colheita,-0.7969924812030074,2.5917474294045434e-05,Sim,Spearman,20,20,0.8039609958609255,0.0009904132007865244,Não,20,0.8302116624370253,0.0025286062489913736,Não,OK
Desmatamento/uso da terra,AM,Causas,consumo_energia_industrial,0.14736842105263157,0.5352473458918692,Não,Spearman,20,20,0.8039609958609255,0.0009904132007865244,Não,20,0.9819025536936229,0.9562289381528676,Sim,OK
Desmatamento/uso da terra,AM,Causas,desmat_area,0.9924812030075187,7.097515845390696e-18,Sim,Spearman,20,20,0.8039609958609255,0.0009904132007865244,Não,20,0.8284879534541402,0.0023734666336853263,Não,OK
Desmatamento/uso da terra,AM,Causas,frota,0.7112781954887217,0.00043769852641295997,Sim,Spearman,20,20,0.8039609958609255,0.0009904132007865244,Não,20,0.9540906082817141,0.43346607261618475,Sim,OK
Desmatamento/uso da terra,AM,Causas,frp_anual_queimadas,0.8736842105263156,4.872962880719225e-07,Sim,Spearman,20,20,0.8039609958609255,0.0009904132007865244,Não,20,0.9468604141792328,0.3219320663768609,Sim,OK
Desmatamento/uso da terra,AM,Causas,rebanho,0.29624060150375936,0.2047182974286216,Não,Spearman,20,20,0.8039609958609255,0.0009904132007865244,Não,20,0.6920101404487393,3.120318960257983e-05,Não,OK
Desmatamento/uso da terra,AM,Causas,venda_comb,-0.6541353383458646,0.001755195412843212,Sim,Spearman,20,20,0.8039609958609255,0.0009904132007865244,Não,20,0.9259176460847269,0.1288371005256037,Sim,OK
Desmatamento/uso da terra,AP,Causas,area_colhida,0.18796992481203004,0.42742125802266395,Não,Spearman,20,20,0.6808758848644704,2.29979987972261e-05,Não,20,0.9451982863733615,0.30000937679609874,Sim,OK
Desmatamento/uso da terra,AP,Causas,area_destinada_colheita,0.19849624060150375,0.40150360700389714,Não,Spearman,20,20,0.6808758848644704,2.29979987972261e-05,Não,20,0.941735650606462,0.25854084960552887,Sim,OK
Desmatamento/uso da terra,AP,Causas,consumo_energia_industrial,-0.15037593984962402,0.5268549482529813,Não,Spearman,20,20,0.6808758848644704,2.29979987972261e-05,Não,20,0.7967946542293356,0.0007742186685904298,Não,OK
Desmatamento/uso da terra,AP,Causas,desmat_area,0.7127819548872181,0.00042017538910877765,Sim,Spearman,20,20,0.6808758848644704,2.29979987972261e-05,Não,20,0.6934133410382208,3.244019547035492e-05,Não,OK
Desmatamento/uso da terra,AP,Causas,frota,0.23157894736842105,0.32589862703879297,Não,Spearman,20,20,0.6808758848644704,2.29979987972261e-05,Não,20,0.9454906462124683,0.3037681935944345,Sim,OK
Desmatamento/uso da terra,AP,Causas,frp_anual_queimadas,0.42556390977443603,0.06138492007540429,Não,Spearman,20,20,0.6808758848644704,2.29979987972261e-05,Não,20,0.9616104861217085,0.576503181857527,Sim,OK
Desmatamento/uso da terra,AP,Causas,rebanho,0.14887218045112782,0.5310434616086306,Não,Spearman,20,20,0.6808758848644704,2.29979987972261e-05,Não,20,0.9125742914208131,0.071369431306616,Sim,OK
Desmatamento/uso da terra,AP,Causas,venda_comb,0.42105263157894735,0.06448807512897045,Não,Spearman,20,20,0.6808758848644704,2.29979987972261e-05,Não,20,0.7873084498278443,0.0005621886786680382,Não,OK
Desmatamento/uso da terra,BA,Causas,area_colhida,-0.045112781954887216,0.8502061902084873,Não,Spearman,20,20,0.889766275056415,0.02662750320221261,Não,20,0.9358600745439599,0.20004062421319724,Sim,OK
Desmatamento/uso da terra,BA,Causas,area_destinada_colheita,-0.14285714285714285,0.5479501508336088,Não,Spearman,20,20,0.889766275056415,0.02662750320221261,Não,20,0.9116203002489202,0.06843615400475819,Sim,OK
Desmatamento/uso da terra,BA,Causas,consumo_energia_industrial,0.3383458646616541,0.14452609966359922,Não,Spearman,20,20,0.889766275056415,0.02662750320221261,Não,20,0.925472845240026,0.1263181357992751,Sim,OK
Desmatamento/uso da terra,BA,Causas,desmat_area,0.9714285714285714,1.0864095402975098e-12,Sim,Spearman,20,20,0.889766275056415,0.02662750320221261,Não,20,0.9231922208091606,0.11415643203943532,Sim,OK
Desmatamento/uso da terra,BA,Causas,frota,0.20150375939849624,0.39426050476127356,Não,Spearman,20,20,0.889766275056415,0.02662750320221261,Não,20,0.9378461794057487,0.21825957604699053,Sim,OK
Desmatamento/uso da terra,BA,Causas,frp_anual_queimadas,0.2571428571428572,0.27375050350001545,Não,Spearman,20,20,0.889766275056415,0.02662750320221261,Não,20,0.8954087662165261,0.033853208635673725,Não,OK
Desmatamento/uso da terra,BA,Causas,rebanho,0.43458646616541347,0.055518791395969054,Não,Spearman,20,20,0.889766275056415,0.02662750320221261,Não,20,0.8486826218728484,0.00506652847793707,Não,OK
Desmatamento/uso da terra,BA,Causas,venda_comb,0.0706766917293233,0.7671582206450904,Não,Spearman,20,20,0.889766275056415,0.02662750320221261,Não,20,0.9037612444385412,0.04853522554913501,Não,OK
Desmatamento/uso da terra,MA,Causas,area_colhida,0.13844130068163002,0.5605144310382755,Não,Pearson,20,20,0.9290821686496694,0.14825994511400054,Sim,20,0.9584023100478098,0.5124470122074053,Sim,OK
Desmatamento/uso da terra,MA,Causas,area_destinada_colheita,0.12355411758311782,0.6037829383208819,Não,Pearson,20,20,0.9290821686496694,0.14825994511400054,Sim,20,0.9603802200314475,0.5514730999312134,Sim,OK
Desmatamento/uso da terra,MA,Causas,consumo_energia_industrial,0.16691729323308271,0.4818249184315467,Não,Spearman,20,20,0.9290821686496694,0.14825994511400054,Sim,20,0.8084768379338844,0.001159056542304396,Não,OK
Desmatamento/uso da terra,MA,Causas,desmat_area,0.910826807951439,2.441057195929242e-08,Sim,Pearson,20,20,0.9290821686496694,0.14825994511400054,Sim,20,0.906347444755189,0.054321027723268765,Sim,OK
Desmatamento/uso da terra,MA,Causas,frota,0.07030493485514352,0.7683508336933376,Não,Pearson,20,20,0.9290821686496694,0.14825994511400054,Sim,20,0.9282290040790305,0.14275444154187672,Sim,OK
Desmatamento/uso da terra,MA,Causas,frp_anual_queimadas,0.1133986213352467,0.6340597829664107,Não,Pearson,20,20,0.9290821686496694,0.14825994511400054,Sim,20,0.909690057405393,0.06287463761367215,Sim,OK
Desmatamento/uso da terra,MA,Causas,rebanho,0.3619735677757199,0.11681336915824009,Não,Pearson,20,20,0.9290821686496694,0.14825994511400054,Sim,20,0.9403308366738015,0.24325654096345734,Sim,OK
Desmatamento/uso da terra,MA,Causas,venda_comb,-0.06766917293233082,0.7768207117441497,Não,Spearman,20,20,0.9290821686496694,0.14825994511400054,Sim,20,0.8789135502142345,0.01691508194731576,Não,OK
Desmatamento/uso da terra,MG,Causas,area_colhida,-0.20752439320111055,0.37998009987293957,Não,Pearson,20,20,0.955920267528245,0.4658945679507055,Sim,20,0.9132058601602685,0.07338214360619126,Sim,OK
Desmatamento/uso da terra,MG,Causas,area_destinada_colheita,-0.19229429642041662,0.41666793480781117,Não,Pearson,20,20,0.955920267528245,0.4658945679507055,Sim,20,0.9211373291131467,0.10420943790957576,Sim,OK
